genus	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
Dendriscosticta	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	cyanobacterial
Lobaria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	cyanobacterial
Lobariella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	cyanobacterial
Lobarina	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			cyanobacterial	
Nephroma	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	cyanobacterial
Parmostictina	lichenized						non-aquatic			thallus_photosynthetic						
Peltigera	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	cyanobacterial
Podostictina	lichenized						non-aquatic			thallus_photosynthetic						
Pseudocyphellaria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	cyanobacterial
Ricasolia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	cyanobacterial
Solorina	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	cyanobacterial
Sticta	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	cyanobacterial
Yarrumia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth				
Yoshimuriella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Erinacellus	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			cyanobacterial	
Collolechia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth				
Hertella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			cyanobacterial	
Placynthiopsis	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			cyanobacterial	
Placynthium	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			cyanobacterial	
Vahliella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			cyanobacterial	
Agyrium	unspecified_saprotroph						non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Miltidea	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Coccotrema	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	cyanobacterial
Gyalectaria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Parasiphula	lichenized						non-aquatic			thallus_photosynthetic	none	none			chlorococcoid	
Chirleja	lichenized						non-aquatic			thallus_photosynthetic	none	none			chlorococcoid	
Dibaeis	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Endocena	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Icmadophila	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Knightiella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth				
Pseudobaeomyces	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Siphula	lichenized						non-aquatic			thallus_photosynthetic	none	none			chlorococcoid	
Siphulella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Thamnolia	lichenized						non-aquatic			thallus_photosynthetic	none	none			chlorococcoid	
Agrestia	lichenized						non-aquatic			thallus_photosynthetic	none	none			chlorococcoid	
Aspicilia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Circinaria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Lobothallia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Megaspora	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Sagedia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Teuvoa	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Microcalicium	lichen_parasite	litter_saprotroph		algal_parasite	"fungal_material,algal_material"		non-aquatic			filamentous_mycelium	mazaedium_(pushpin-like)	other				
Ochrolechia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Loxosporopsis	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Pertusaria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Thamnochrolechia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Varicellaria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Lepra	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Catolechia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Epilichen	lichenized	lichen_parasite		algal_parasite	algal_material		non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Poeltinula	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Rhizocarpon	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Loxospora	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Sarrameana	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Schaereria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Sporastatia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Toensbergia	lichenized						non-aquatic			thallus_photosynthetic	none	none			chlorococcoid	
Brigantiaea	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Letrouitia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Megaloblastenia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Megalospora	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Sipmaniella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Amundsenia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Apatoplaca	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Athallia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Austroplaca	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Blastenia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Brownliella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Bryoplaca	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Calogaya	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Caloplaca	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Catenarina	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Cephalophysis	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Cerothallia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Charcotiana	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Dufourea	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Eilifdahlia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Elenkiniana	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Fauriea	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Filsoniana	lichenized						non-aquatic			thallus_photosynthetic						
Flavoplaca	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Follmannia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Franwilsia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Fulgensia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Golubkovia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Gondwania	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Gyalolechia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Haloplaca	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Huneckia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Ioplaca	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Jasonhuria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Josefpoeltia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Kaernefia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Langeottia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Lazarenkoella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Leproplaca	lichenized						non-aquatic			thallus_photosynthetic	none	none			chlorococcoid	
Loekoesia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Marchantiana	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Mikhtomia	lichenized						non-aquatic			thallus_photosynthetic	none	none			chlorococcoid	
Niorma	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Olegblumia	lichenized						non-aquatic			thallus_photosynthetic	none	none			chlorococcoid	
Orientophila	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Ovealmbornia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Oxneria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Pachypeltis	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Parvoplaca	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Polycauliona	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Pyrenodesmia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Raesaeneniana	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Rufoplaca	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Rusavskia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Scutaria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Seirophora	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Shackletonia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Sirenophila	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Solitaria	lichenized						non-aquatic			thallus_photosynthetic	none	none			chlorococcoid	
Squamulea	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Stellarangia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Streimanniella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Zeroviella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Tarasginia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Tassiloa	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Tayloriella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth				
Tayloriellina	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Teloschistes	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Teloschistopsis	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Thelliana	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Usnochroma	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Variospora	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Wetmoreana	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Villophora	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Xanthocarpia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Xanthodactylon	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Xanthomendoza	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Xanthopeltis	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Xanthoria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Yoshimuria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Austroblastenia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Malcolmiella	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Aspidothelium	lichenized						non-aquatic			thallus_photosynthetic	"perithecium_(hymenium_hidden,_narrow_opening)"	closed			chlorococcoid	
Chromatochlamys	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth				
Thelenella	lichenized						non-aquatic			thallus_photosynthetic	"perithecium_(hymenium_hidden,_narrow_opening)"	closed			chlorococcoid	
Elixia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Meridianelia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Fuscidea	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Hueidea	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Maronea	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Orphniospora	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Boreoplaca	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth				
Hypocenomyce	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Ophioparma	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Ropalospora	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Fulgidea	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Lasallia	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Umbilicaria	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Xylopsora	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Chaetomella	litter_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Patellina	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Pilidium	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Sphaerographium	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	clavarioid	smooth				
Synchaetomella	litter_saprotroph				leaf/fruit/seed		partly_freshwater_(partly_non-aquatic)			filamentous_mycelium	none	none				
Xeropilidium	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Cyttaria	plant_pathogen	wood_saprotroph		wood_pathogen	"wood,leaf/fruit/seed"		non-aquatic		Nothofagus	filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Arthrocladiella	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Blumeria	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Brasiliomyces	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Bulbomicroidium	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Caespitotheca	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Cystotheca	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Erysiphe	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Euoidium	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Fibroidium	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Golovinomyces	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Leveillula	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Microidium	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Microsphaera	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Neoerysiphe	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Oidium	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Ovulariopsis	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Parauncinula	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Phyllactinia	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Pleochaeta	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Podosphaera	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Pseudoidium	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Queirozia	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Sawadaea	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Setoidium	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Sphaerotheca	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Striatoidium	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Takamatsuella	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Uncinula	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_	closed				
Amicodisca	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Dematioscypha	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Haplographium	unspecified_saprotroph						non-aquatic			filamentous_mycelium						
Arachnopeziza	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Eriopezia	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Trichoconis	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Ascocorticiellum	wood_saprotroph	litter_saprotroph			"wood,leaf/fruit/seed"		non-aquatic			filamentous_mycelium	other	smooth				
Ascocorticium	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	other	smooth				
Ascosorus	litter_saprotroph	plant_pathogen		leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	other	smooth				
Ascodichaena	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Delpinoina	wood_saprotroph				wood		non-aquatic			filamentous_mycelium						
Bryoclaviculus	plant_pathogen	bryophilous		leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic		mosses	filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Bryoglossum	litter_saprotroph	bryophilous			leaf/fruit/seed		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Neocudoniella	soil_saprotroph	litter_saprotroph			"leaf/fruit/seed,soil"		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Hemiphacidium	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Chlorociboria	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Chlorosplenium	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Ameghiniella	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Austrocenangium	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Cordierites	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Diplocarpa	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Diplolaeviopsis	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Gelatinopsis	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Ionomidotis	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Llimoniella	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Macroskyttea	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Midotiopsis	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	apothecium_(hymenium_on_surface)	smooth				
Rhizocladosporium	unspecified_saprotroph	myxomycete_decomposer			protist_material		non-aquatic			filamentous_mycelium						
