genus	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
Palawania	litter_saprotroph		no_endophytic_capacity		leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Paranectriella	litter_saprotroph		no_endophytic_capacity		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Paranectriella	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Puttemansia	mycoparasite	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	"leaf/fruit/seed,fungal_material"		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Parodiella	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Chevalieropsis	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Parodiellina	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Perisporiopsis	plant_pathogen			leaf/fruit/seed_pathogen						filamentous_mycelium						
Phaeodimeriella	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Chaetoscutula	litter_saprotroph		no_endophytic_capacity		leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Pododimeria	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Polyclypeolina	litter_saprotroph		no_endophytic_capacity		leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Dermatodothella	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Dothidella	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Munkiella	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Parastigmatea	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Protoscypha	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Bryomyces	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		partly_freshwater_(partly_non-aquatic)			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Eudimeriolum	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Keratosphaera	lichen_parasite	fungal_decomposer	no_endophytic_capacity		"fungal_material,algal_material"		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Lasiostemma	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Myxophora	lichenized		no_endophytic_capacity				non-aquatic			thallus_photosynthetic	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Nematostoma	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Seynesiopeltis	epiphyte	litter_saprotroph	no_endophytic_capacity		leaf/fruit/seed		non-aquatic			filamentous_mycelium	"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)"	closed				
Stomatogene	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Toroa	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Acrogenotheca	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)"	closed				
Brefeldiella	epiphyte	plant_pathogen	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)"	closed				
Saccardinula	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium	"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)"	closed				
